qm9_id,split
106061,train
548,test
76210,train
14521,train
1534,train
57308,train
68077,train
124500,train
13867,train
38321,train
992,train
124606,train
6003,train
100134,test
75610,val
1808,train
34500,test
5131,train
2006,train
59272,test
76614,train
33430,train
20272,val
63842,train
98526,train
26710,test
48246,train
5301,train
2722,val
51006,val
72537,train
48150,train
17686,train
117635,train
57313,train
4623,train
5936,train
547,train
41874,train
68404,test
27372,train
57459,train
18092,train
6627,train
4580,train
62493,train
67732,train
41434,train
64155,val
105521,train
26144,val
24708,train
5270,train
73782,train
53805,test
62910,val
39894,train
43453,train
68075,train
73847,train
14795,val
86556,train
57499,train
8340,train
57668,train
96829,train
293,test
102373,train
14743,train
86301,train
8409,train
3968,train
64098,train
124858,train
17956,train
57353,train
12576,train
40849,train
126133,val
48217,train
63199,test
98184,train
2004,test
62499,val
123258,train
59287,train
77526,test
41,test
641,train
227,train
123837,train
488,train
59381,train
99422,train
7147,train
7664,train
5980,train
57925,train
89531,test
101669,train
7321,train
8682,train
20884,train
8350,test
19168,train
49104,train
64318,val
59806,train
63740,val
8360,train
57275,train
52926,train
119,val
65066,train
8338,train
59455,train
123724,train
38,test
126752,val
73840,train
58625,train
48306,train
100064,val
117005,train
123253,train
58760,train
97711,test
8423,train
62755,train
7029,train
65085,train
9925,train
117718,train
124499,train
20557,train
17904,train
63519,train
71,train
13374,train
27146,train
37613,train
124842,val
639,val
41869,train
68402,train
124449,train
22416,train
62924,train
107746,train
2497,test
55747,test
49150,train
19301,val
108786,val
76331,test
326,train
9694,train
57504,train
31483,train
2729,train
6856,train
12126,train
77757,train
16015,train
100145,train
10245,train
1091,train
68363,train
9103,train
46480,train
57690,train
53728,train
524,train
6967,train
501,train
38874,train
14174,train
33721,val
40162,train
2018,train
118662,train
99932,train
121791,train
117078,train
14238,train
117695,train
3528,train
86261,val
45898,train
5996,train
48258,train
123264,train
40214,val
8748,train
6568,train
47700,train
58766,train
20463,train
57359,train
57513,train
59186,val
124532,train
76335,train
292,train
39854,test
76206,val
117250,val
70828,test
53727,train
912,train
29685,train
40309,train
43610,train
2498,train
18096,train
117699,train
14578,train
21639,train
9860,val
57246,train
63048,train
3691,test
60444,train
37852,train
4977,train
48068,val
34836,train
26136,train
122881,train
124511,test
119274,train
129158,train
6829,train
58711,train
52592,train
26290,test
1261,train
20546,train
491,train
62553,test
1093,train
29767,test
50526,train
38366,train
133563,train
62998,train
74276,train
5865,train
62469,train
66721,train
18804,train
62863,train
98384,train
38288,train
37863,train
99413,train
26464,train
110148,train
130892,train
122825,train
36599,train
33291,train
699,val
22,val
6146,train
1088,train
19199,train
86189,train
5905,train
55277,train
122873,train
44499,train
14180,test
68651,test
12303,train
123187,train
84361,train
68409,val
18899,test
20237,train
86477,val
33716,train
124198,val
2015,val
58455,train
16380,val
8627,test
127087,test
68088,train
102418,val
122285,train
23401,train
6766,train
85393,train
2210,train
24620,train
131823,train
98166,train
26286,train
9349,train
24560,val
62628,val
14480,train
77522,train
8427,train
211,val
71572,train
7460,test
5864,train
130674,train
26141,train
43724,train
63846,train
75135,train
3148,val
23905,val
63332,train
108674,train
43473,train
66361,test
68032,train
1889,train
8076,train
70837,train
76,train
406,train
30453,train
26145,train
7150,train
63209,train
11131,train
20545,train
3487,train
108244,val
1523,train
26175,train
59817,train
57679,val
320,train
62298,test
97668,train
3258,train
65928,train
41747,train
26094,train
6823,train
5988,val
39786,train
27403,train
15019,val
68006,train
63274,train
23398,test
126705,test
122283,train
519,train
14661,train
62574,train
53683,train
57379,test
110096,train
6541,train
117091,train
340,train
33259,train
2613,train
26296,train
98194,train
9,train
126600,train
18976,train
26089,train
64303,train
7715,train
8406,train
9121,val
55743,train
97709,train
133549,train
6436,train
55635,train
121600,train
125558,train
62940,train
102372,train
52779,train
68579,test
64939,train
106338,train
33288,train
37985,train
8571,train
123922,train
64195,train
18760,train
24330,train
58764,train
70815,train
57713,train
1129,train
41743,train
105109,train
871,train
19098,test
26293,train
19089,val
23903,test
23859,train
10019,train
124589,train
6,train
57327,train
2070,train
5888,train
6422,train
437,train
45895,train
73869,train
42528,val
123202,train
97211,test
64116,train
127834,train
89377,train
2003,train
21768,train
123075,train
14632,train
8772,train
3736,train
3764,train
6751,train
64357,train
23896,train
57224,train
121843,train
77673,train
21048,train
39531,train
8555,train
22185,train
52574,train
21780,train
26134,train
26295,val
34476,train
37854,train
8203,train
7578,train
43365,train
14164,train
48569,train
53469,train
131724,val
1083,train
124468,train
93846,train
37317,val
31073,train
121523,train
6779,train
70811,train
8394,train
125588,train
68076,train
62520,train
8606,train
62807,train
8522,train
59127,train
1082,train
119730,test
63405,test
98996,train
42279,test
48490,train
16021,train
2410,train
102197,train
15942,val
17847,train
36017,val
3260,train
50506,test
44045,train
657,train
24829,train
65075,train
57992,train
42142,train
43704,train
41037,train
39624,train
86463,test
35676,train
14629,train
5919,train
126707,train
40131,train
5660,test
59810,train
90009,val
544,train
124539,train
86,val
1346,test
77721,val
7268,train
3521,train
121513,train
33723,train
9124,train
102328,train
452,train
8325,train
122139,train
132407,train
31788,test
17131,train
102350,val
65079,train
42103,train
58972,train
322,train
62579,train
15035,train
19211,train
106398,train
29856,train
5923,val
40210,train
117684,val
8332,train
5667,train
74146,train
39625,train
116687,train
124089,train
50507,val
96,train
447,train
27871,val
68043,train
123960,train
24834,val
50972,test
5989,test
75019,train
40977,train
97281,train
68066,train
57356,train
53966,val
8780,train
124603,train
55736,train
1285,test
62759,train
52927,train
67724,train
73872,test
124470,train
24329,train
1832,train
49345,train
6609,train
12129,test
70850,train
23714,train
121811,train
103751,test
97283,val
121757,train
52862,train
44496,train
68578,train
128924,train
108792,train
121807,test
60891,train
20,train
26495,train
99038,train
104450,val
63256,train
55750,train
97358,train
63964,train
29274,train
128699,train
16189,train
8611,train
124604,train
22201,val
13835,train
128659,train
5803,train
123100,train
26135,train
72407,train
57276,train
109113,train
59032,train
75133,test
33385,train
74275,test
121531,val
68451,train
32537,train
1660,train
56136,train
104680,test
72648,train
39609,train
127103,train
476,train
130916,train
110147,train
53549,train
121826,train
8640,train
59849,train
117086,train
65916,train
74258,train
9337,train
26466,train
42120,val
55648,train
6107,train
8722,train
5049,train
2697,train
17659,val
53730,val
27843,test
1284,train
97714,train
5920,train
30638,train
98793,train
126706,val
67728,train
14261,train
97108,train
5124,train
93,train
123254,test
62,val
8339,train
4957,train
7965,train
43801,train
26306,train
6579,test
123256,test
26373,train
100421,train
124496,train
5658,train
89564,train
7638,train
26099,test
95808,train
89548,train
44497,test
2002,train
26221,train
5720,train
39958,train
1179,train
127265,train
2,train
1193,train
69772,test
124441,train
32533,val
64154,val
27915,train
37002,train
696,train
11088,train
20461,test
308,train
13892,train
123115,train
63,train
130618,train
57310,train
13153,train
2558,train
57309,train
11137,train
100082,val
121639,train
5893,train
59941,val
93690,train
105545,train
13926,val
53818,train
8499,train
57511,train
21423,train
124456,train
1136,train
43916,train
9701,train
128988,train
37014,train
102408,train
53044,train
17901,test
5963,train
6863,train
31948,train
113082,val
121596,train
27394,train
124584,train
97113,train
127083,train
8352,train
73865,train
55618,train
76351,train
0,train
20532,train
68296,train
8630,test
41958,train
80404,train
10726,train
26371,train
128435,train
63038,train
311,val
102205,train
37775,test
58710,val
123091,test
70863,train
44512,train
99430,train
123110,val
42,train
33386,test
37341,train
68185,test
2014,train
98193,train
19310,test
106340,train
28560,val
5721,test
125066,train
91004,train
2084,train
724,train
121577,train
122280,train
4229,train
17651,train
66384,train
8399,train
77499,train
127538,test
64113,train
59796,train
55641,train
72651,val
40847,train
33287,train
52618,train
68042,train
68133,val
6621,train
76788,train
41898,train
6206,test
52604,test
74263,test
14793,train
122287,train
6181,train
661,train
97669,train
2027,train
5994,train
26142,train
70813,train
94833,train
5879,train
57508,train
55642,train
33522,train
826,train
3939,train
182,train
14391,train
126137,train
127071,train
122717,val
68373,train
124871,train
121790,train
39607,train
123252,train
2125,val
128984,train
108202,train
57568,train
49,train
222,train
13163,train
26100,train
8364,train
59896,train
8498,train
21386,train
700,val
7091,test
65086,train
28,train
78286,train
37004,train
69783,train
215,test
54907,train
57683,test
97538,train
58342,train
63370,train
23907,train
7061,train
44057,train
124487,val
71574,train
26104,train
63197,train
28569,train
37918,train
2008,train
132220,train
3267,train
5859,train
124498,train
20991,train
123266,train
133693,train
57550,train
8363,test
106344,train
18759,train
124445,train
77498,train
97872,train
52601,train
41730,train
1711,val
116845,train
5304,val
54,test
90005,train
1701,val
127437,train
55629,train
41742,train
94,train
8731,train
4498,train
8165,train
2123,train
16018,train
2552,test
20554,train
124869,test
68091,train
59370,train
58695,train
26292,train
1611,train
64352,train
98784,train
10783,test
18989,train
124587,train
119165,train
8610,train
18979,train
14741,train
14388,val
123722,train
100125,train
122837,train
39760,train
4232,train
123097,train
8367,val
106161,train
7009,train
123098,train
38799,val
2118,train
8564,train
18800,train
43100,train
63809,train
102672,test
24711,train
33722,test
17663,train
310,train
125060,train
27873,train
30426,train
8797,train
124484,train
11090,test
71987,train
5934,train
5985,train
118,train
3523,val
58341,train
26270,train
53798,train
65923,train
6777,train
72393,test
36027,train
133,train
57238,test
43501,train
56137,train
31621,train
5796,train
12144,val
62927,train
128736,val
128433,train
124495,train
67623,train
124618,test
18939,test
23837,train
5882,train
7082,test
64110,train
5890,train
124841,train
47885,test
122819,val
2013,train
36973,train
6748,train
62883,train
98242,train
37846,test
123549,train
85969,train
59131,train
63451,val
37856,test
99032,test
3197,val
1185,train
57506,train
34669,train
68049,train
129483,train
8808,train
5984,train
7143,val
77413,train
40159,train
57708,train
43707,train
74771,test
124455,train
63263,train
357,train
57382,train
65925,train
56146,train
14483,train
17262,val
6085,train
31992,train
26461,train
718,train
9369,train
5962,train
3700,train
59034,test
99,val
70854,train
1302,train
36954,train
20537,train
106598,train
2120,train
41729,val
6592,train
486,test
62466,train
56143,train
75203,train
72406,train
42382,val
10237,train
121812,train
4484,train
117624,test
43093,train
41398,val
15,train
122816,train
74264,test
47973,val
2500,train
8353,train
10837,train
542,train
68295,train
27918,train
23923,train
8521,train
117489,test
2523,train
100409,train
2687,train
5895,train
34070,train
10132,train
18097,train
33439,train
86291,train
29559,train
20143,train
12608,val
117723,train
41945,train
17689,test
58969,train
59375,train
86542,val
28548,train
24348,train
27533,val
8807,val
4041,train
705,train
20118,train
5802,train
57320,train
49347,train
59850,train
7633,train
9859,val
77398,train
67624,train
43390,train
2203,train
20484,train
72126,train
32570,train
52619,test
29566,train
13919,train
54133,val
30636,train
8552,val
76375,train
76208,train
20528,val
99020,test
2547,train
126405,train
49403,train
2528,train
65038,test
122827,train
63005,train
99423,val
3896,train
36821,train
10078,train
5903,train
94829,train
116847,train
11102,train
10017,train
98317,train
2655,test
57617,train
102366,train
63335,train
2540,train
117491,val
65926,test
122810,train
8327,train
41897,train
6120,train
1152,train
46199,test
1097,train
128920,test
6075,train
68362,train
121821,train
12595,val
5845,train
21962,train
545,train
53677,val
26180,val
34672,train
121583,train
10168,train
62651,train
124497,test
120855,val
78687,train
99196,train
663,train
48568,train
12121,train
26140,train
59203,train
17795,train
102530,train
26224,train
124862,train
2081,test
26267,train
1188,train
100305,test
57615,train
5942,train
43705,train
38690,train
1189,train
7144,train
121840,train
117640,val
26090,train
106600,train
10778,train
67290,train
59285,train
52469,train
14566,train
62632,train
58738,train
76799,train
26699,train
123317,train
117487,train
63523,train
127073,val
17958,train
1081,train
59895,val
117712,test
188,train
6943,train
78395,train
63391,test
319,train
58990,train
11079,train
30061,train
66794,train
68652,test
31947,train
39718,train
68438,train
128969,train
26118,train
100075,test
20330,train
55101,train
24345,train
126775,train
37006,train
23986,test
126442,train
77399,train
103745,train
65922,test
57665,train
6325,train
63139,train
62793,train
99929,train
17792,train
37857,train
43475,test
63082,train
57298,train
34473,train
15258,train
55638,train
3690,train
100065,train
2617,train
225,val
1524,train
26085,train
14710,train
5948,train
68867,train
23045,test
122826,val
107763,train
14750,train
2010,train
58525,test
73288,train
1353,train
21025,val
41305,train
325,train
12291,val
52453,train
64022,train
59525,train
58699,train
70855,train
99033,val
17927,train
117708,train
57927,train
305,train
52760,train
121515,train
6867,val
62922,train
11059,train
9343,val
58430,train
41725,train
59192,train
133522,val
89380,train
96741,train
53819,test
58593,train
26217,train
1157,val
65142,train
99928,test
99016,test
101958,train
8235,train
2440,train
1089,train
472,train
26272,train
68007,val
66345,test
2725,train
104814,train
124616,train
8607,train
40965,train
49317,train
109420,val
19741,train
41041,val
105508,train
38076,test
59193,train
6452,test
20530,train
28581,train
126790,train
74394,test
102367,train
124440,test
78516,val
98389,test
57225,train
70831,train
133757,val
10266,train
14799,train
1301,train
63338,train
124525,train
20534,train
8391,train
106427,train
1797,train
74056,train
1933,train
55620,train
37861,train
17709,train
56142,train
20491,train
26087,val
24106,val
18802,val
100070,train
124615,train
53678,test
8562,train
57321,val
41491,train
41946,test
5673,test
58973,train
2101,train
85379,train
36966,train
133619,train
10830,train
1186,train
41373,test
483,val
7011,train
117041,train
106337,train
6590,val
43463,train
109303,train
14756,test
47275,train
172,train
59785,train
14270,train
101970,train
5807,train
103760,val
117685,val
133536,train
76613,val
75056,train
26474,train
124595,train
47971,train
124437,train
52625,train
48307,train
158,test
39626,train
11817,train
106346,train
130587,test
6589,train
19093,train
24213,test
8707,val
73818,test
21063,train
121822,train
24005,train
30632,train
37860,val
121469,train
116756,train
5653,train
21964,train
26271,train
33715,train
73864,train
123255,train
7204,train
398,train
118663,val
7826,train
52092,train
99964,train
98189,train
39693,train
124041,train
5941,train
57741,test
117207,train
393,val
44510,train
59031,train
99954,train
121741,val
124954,train
30781,train
75573,train
57553,train
127074,train
6595,train
7037,train
20659,train
97387,test
6079,train
21114,train
7140,val
69,train
21511,train
49103,train
131819,train
99002,train
89545,train
119354,test
130211,train
57328,test
65484,train
7137,train
7045,val
106601,train
99015,val
22418,train
121798,train
121529,val
116674,train
77725,train
72034,train
52093,train
6585,train
98528,train
48,train
14188,val
62899,test
14623,train
1923,val
54023,train
7250,train
65498,train
124458,train
6684,test
124588,train
7065,train
44516,train
51241,train
40981,train
34477,val
58350,val
133816,val
134,train
1650,train
57824,train
44919,train
102199,val
119351,train
2726,train
26357,train
20549,test
8345,train
62762,train
22429,train
24977,test
63257,train
6604,train
116646,train
72134,train
68375,train
21966,train
130491,train
59564,test
99412,train
131821,train
47884,train
37019,val
7729,val
48260,train
73287,train
89971,train
14746,val
38880,val
133636,train
66344,train
23897,train
7704,train
36818,train
128656,train
6444,train
77700,test
19744,train
5953,test
43845,train
42678,train
2126,train
6430,val
43606,train
39763,train
10796,train
124451,train
72135,train
12145,test
124460,train
5794,val
20993,train
20992,train
53,test
38798,train
11849,train
40908,train
1233,train
75967,train
57503,train
57730,test
57339,train
58357,train
120840,train
8404,train
15938,train
115510,train
53976,train
6423,train
62501,train
48219,test
101667,train
124600,train
37859,train
133486,test
908,val
72136,train
318,train
122871,train
2207,train
104875,train
78685,train
59109,val
10695,train
37611,train
117724,train
53814,train
97020,train
64298,test
72408,train
10751,val
1144,train
53967,train
26098,train
46477,train
9340,val
121727,train
26745,val
21382,train
23908,train
10799,train
133788,train
37858,train
62938,train
39576,train
295,train
55616,train
119073,val
41895,train
8624,train
6776,train
41374,train
2007,train
66800,train
5810,val
42071,train
133635,test
62592,train
128888,val
3242,train
36021,train
102614,train
20242,val
124856,train
69773,train
99421,test
102332,train
11085,test
31993,train
11965,train
98395,train
516,train
4984,train
26298,train
123092,train
21393,test
19207,train
20712,train
127086,test
2025,train
97712,train
38281,train
698,train
39945,train
75385,train
7027,train
12112,train
36815,train
167,train
122282,val
14796,train
186,train
23997,train
124860,test
6584,train
38322,val
21344,test
6594,test
99944,train
59331,train
62641,train
14790,test
116901,train
4427,val
366,train
75054,train
89718,train
98523,train
133541,val
8396,train
102375,train
31651,train
13927,train
57323,train
116664,train
57562,train
8491,train
68407,test
105,test
21443,test
19,test
121514,train
63356,train
1801,train
29715,train
282,train
75741,test
63748,test
98522,val
124610,train
465,train
64111,train
20113,train
49229,train
549,train
44518,train
7201,train
124447,test
72130,test
7901,train
68097,train
62506,train
65495,train
73822,train
68360,train
72535,train
3263,train
126406,train
5671,val
5712,train
9867,train
124549,train
27393,train
530,train
12300,train
124843,val
98376,val
10228,train
89973,val
57395,train
51009,train
38325,train
34471,train
119726,train
102412,train
2021,train
55744,train
42067,train
15913,train
6944,train
133743,train
53223,val
34591,train
12312,train
54380,train
123746,val
45941,train
90456,train
57493,train
102691,train
1922,train
6948,train
7567,train
63547,train
39930,test
221,train
14797,train
124442,train
124867,train
1813,train
53787,train
124622,train
9351,train
3270,train
118659,val
74143,train
59942,train
7316,val
21762,train
74262,train
124529,train
42186,train
46177,train
1151,train
24328,train
12436,train
1111,train
1696,train
95796,test
75303,test
1269,train
5116,train
2042,train
103741,train
52470,train
59565,test
3520,val
36598,train
125932,test
98162,val
8362,train
37849,train
6615,train
5075,train
102666,train
128922,train
1113,train
14476,train
34066,train
12131,train
38328,train
9719,test
328,train
63844,train
75974,train
38369,train
5856,val
28008,train
51015,train
63968,train
11092,train
26146,train
62484,train
39720,train
100133,train
26227,train
99025,train
105510,train
4429,train
697,train
8331,train
30206,test
63135,train
213,test
41371,train
37077,train
123065,train
48861,train
66360,train
124457,train
119079,train
57292,train
338,train
84358,train
33516,train
17971,train
124505,train
14787,train
8211,val
123750,train
46,train
860,train
33388,train
42336,train
20373,train
77676,val
5880,train
117646,train
24986,train
98080,val
127537,train
127973,train
1347,train
86302,train
990,test
44517,train
123954,train
10776,train
6045,train
133531,test
122293,train
24981,test
119356,train
26649,train
42124,train
124452,train
5971,train
123245,train
6032,train
57378,train
38644,val
122835,train
17703,train
12698,train
1305,train
121578,train
1821,val
57358,train
5924,train
48245,train
5921,train
42282,train
2728,train
59206,train
132228,train
63377,train
20536,train
8616,val
121633,val
3654,test
11964,train
132,train
64197,train
100127,train
117625,train
68413,val
2639,train
19082,test
106,train
98981,train
26022,train
1146,train
121726,train
220,train
128459,train
53484,train
62648,train
57223,train
83534,train
84372,train
17848,train
133862,val
10375,test
3262,train
1431,val
5957,train
49315,train
44926,train
2020,train
10371,train
53731,train
55740,train
57360,train
58720,train
56223,val
37657,train
7195,train
14583,train
52925,train
2046,val
106410,train
41306,train
73297,train
24841,train
66377,train
63513,train
390,train
58749,train
70812,train
26147,train
7580,train
6566,train
57680,train
133786,train
59212,train
11559,train
39575,train
9736,train
13158,train
27901,train
23988,val
19092,train
73807,test
1820,train
26106,train
47867,train
126831,train
123249,train
2388,train
74480,train
5874,test
133781,train
168,train
121804,train
48538,train
63255,train
119357,train
528,train
3888,train
5844,train
73815,train
85,train
59784,train
73820,test
226,test
20555,test
19116,val
3238,train
5110,train
53735,val
2001,train
53443,train
2686,test
10795,train
127541,train
1150,train
14789,train
59210,test
57675,train
59371,train
40857,train
10273,train
1667,train
50994,train
129096,train
117722,test
26174,train
42027,train
65479,train
11100,train
5811,train
260,train
57400,train
86315,train
17959,train
155,train
7249,train
29694,train
19117,test
68018,train
41718,train
37022,train
25375,val
5938,train
68186,train
18797,train
37988,train
52457,train
99420,train
74690,test
102330,train
59527,train
24572,train
48241,test
2560,train
117083,train
20533,test
116831,train
74521,train
123356,train
56054,train
123082,train
109147,train
159,train
2562,train
77390,train
20406,train
57512,train
124844,train
42060,train
6607,train
176,train
71885,train
53645,train
99427,train
39611,train
38371,test
1180,train
124448,train
67,train
8202,train
2569,train
58446,train
25433,train
122879,train
17738,train
68398,train
71575,test
17732,train
2549,train
57551,val
6691,train
5812,train
8393,train
63213,train
26946,train
2386,train
24845,train
123189,train
63337,train
68109,train
108,train
5329,test
62875,train
25711,val
109227,train
39612,train
72536,train
8504,train
59813,train
40219,train
37821,train
109485,test
63334,test
5861,train
36970,train
123261,train
105111,val
128853,val
68297,train
57349,train
26171,train
78390,train
60780,train
128855,train
62491,test
33719,train
1806,train
133523,train
14267,train
217,train
8392,train
9364,train
24707,train
5268,train
41397,train
10823,train
8746,train
63270,train
10007,val
2104,test
4169,train
424,train
102612,train
23881,train
42285,train
5328,train
1,train
57514,train
48574,train
126135,train
22167,test
68115,test
94836,train
93844,train
4230,train
63247,train
100078,val
66799,train
128302,test
70816,train
77502,train
133730,train
8524,test
123257,test
121517,val
20756,train
63449,train
127533,train
7630,train
58737,train
43180,train
8210,train
57239,train
8672,train
77394,train
26294,train
62720,train
19306,train
96672,train
121622,train
457,train
41426,test
121632,train
132953,train
38075,train
19213,train
910,train
15039,test
86460,train
57293,train
7191,train
458,test
59195,train
59184,train
7034,train
2727,train
55630,val
122058,train
8714,train
23926,train
124623,train
24212,train
10003,train
42123,train
63807,test
12148,train
33261,train
48187,test
5862,train
5997,train
5839,train
24837,val
10735,train
26652,test
57314,val
37013,train
121763,train
1626,train
44514,val
49319,train
24697,train
8351,train
68045,train
24007,train
20146,test
68876,train
26165,train
86467,train
5831,train
133791,train
21775,train
4483,test
46181,train
26105,train
123551,val
122286,train
133481,train
2107,test
56241,train
2009,train
97388,train
57507,test
40003,train
73870,train
102404,train
20547,train
8497,train
10373,test
861,train
59264,train
5958,train
20551,train
8569,train
1659,train
128668,train
62718,train
68090,train
99019,test
20421,train
39959,train
10250,train
19201,train
90012,train
23867,train
6618,train
52626,train
85384,train
36605,train
100126,test
33390,val
36030,train
107760,train
73863,train
97360,train
108194,train
123251,train
73797,test
124319,train
22205,train
23865,val
121,train
13916,train
40852,train
73857,train
50163,train
37916,train
20375,train
73688,val
124502,test
39,val
316,train
6365,train
24009,train
63389,train
118584,train
124444,test
9168,train
2720,train
44101,train
14175,train
1167,train
13924,train
63733,test
65042,train
57548,train
133803,val
6623,train
55737,train
51,train
8614,train
99415,train
127098,train
5970,train
5842,train
26266,val
14639,train
17,train
122323,train
2572,train
123247,train
11895,train
117703,test
12587,train
20213,train
26173,train
32615,train
102407,train
63376,val
52595,train
123262,train
14530,val
8334,test
26377,test
53995,train
11132,test
63339,test
14561,train
38367,train
7005,train
27348,train
24574,train
2692,train
45850,train
26668,test
86191,train
121753,val
57401,train
633,train
133489,train
53975,train
65087,val
18895,train
47280,train
18980,train
70835,train
40978,train
62468,test
95802,train
124530,train
2695,val
42521,train
14798,train
6732,train
55751,train
80399,train
16377,train
100091,train
59033,test
70809,train
98653,train
95777,val
4991,train
28448,test
7431,test
62485,val
813,train
26120,train
12440,train
77719,train
5813,train
115499,train
4222,train
10267,train
73676,train
42524,train
62859,train
54604,train
1121,train
64035,train
2357,train
42143,train
3201,val
68912,test
42053,train
17660,train
47283,train
42523,train
123076,train
63353,train
57712,train
46196,train
58098,train
41733,train
27399,train
128437,train
23883,val
62861,train
37823,test
123184,val
5715,train
8800,train
102326,train
22169,train
76337,train
65028,train
42529,train
720,val
102383,train
62510,train
65785,train
124620,test
26086,train
90452,val
26185,val
74520,train
26166,train
117689,train
26950,train
14162,train
39630,train
63226,train
53547,train
56227,train
62873,train
128457,train
18974,train
99938,test
20886,val
76204,val
12524,train
102405,val
42726,train
39896,train
40968,train
62806,test
66352,train
229,train
44928,train
41678,test
14742,train
3537,train
63404,train
290,train
64000,train
128651,train
1191,test
128713,train
118661,train
124845,train
130429,train
54379,train
10369,val
7210,train
63396,train
722,train
58012,train
6382,train
7083,train
46505,train
33437,train
56244,train
59528,train
124485,val
128083,train
60447,train
40158,train
10247,val
46281,train
24,train
183,val
57552,test
3971,train
124454,train
10390,train
7190,train
52624,train
57347,train
4226,test
7354,val
2721,train
74147,train
123358,train
9827,train
75237,val
32535,train
116850,train
47887,val
123748,train
26184,train
124506,train
5829,train
101960,train
74486,train
74773,train
62894,test
76734,test
102201,test
33653,train
124607,train
29562,train
42118,train
3943,train
8719,train
